item_id,timestamp,target
1,28.09.1997,5.860
1,05.10.1997,5.867
1,12.10.1997,5.873
1,19.10.1997,5.874
1,26.10.1997,5.882
1,02.11.1997,5.885
1,09.11.1997,5.895
1,16.11.1997,5.900
1,23.11.1997,5.910
1,30.11.1997,5.923
1,07.12.1997,5.928
1,14.12.1997,5.936
1,21.12.1997,5.948
1,28.12.1997,5.951
1,04.01.1998,5.965
1,11.01.1998,5.988
1,18.01.1998,6.007
1,25.01.1998,6.013
1,01.02.1998,6.028
1,08.02.1998,6.039
1,15.02.1998,6.051
1,22.02.1998,6.062
1,01.03.1998,6.069
1,08.03.1998,6.078
1,15.03.1998,6.087
1,22.03.1998,6.093
1,29.03.1998,6.103
1,05.04.1998,6.110
1,12.04.1998,6.118
1,19.04.1998,6.120
1,26.04.1998,6.123
1,03.05.1998,6.128
1,10.05.1998,6.134
1,17.05.1998,6.146
1,24.05.1998,6.148
1,31.05.1998,6.156
1,07.06.1998,6.159
1,14.06.1998,6.172
1,21.06.1998,6.179
1,28.06.1998,6.187
1,05.07.1998,6.196
1,12.07.1998,6.201
1,19.07.1998,6.208
1,26.07.1998,6.222
1,02.08.1998,6.234
1,09.08.1998,6.256
1,16.08.1998,6.988
1,23.08.1998,11.982
1,30.08.1998,16.972
1,06.09.1998,12.857
1,13.09.1998,14.581
1,20.09.1998,15.590
1,27.09.1998,15.885
1,04.10.1998,15.819
1,11.10.1998,13.539
1,18.10.1998,16.739
1,25.10.1998,16.629
1,01.11.1998,15.629
1,08.11.1998,18.089
1,15.11.1998,17.729
1,22.11.1998,18.229
1,29.11.1998,20.589
1,06.12.1998,21.279
1,13.12.1998,21.859
1,20.12.1998,20.240
1,27.12.1998,20.600
1,03.01.1999,23.280
1,10.01.1999,22.680
1,17.01.1999,23.280
1,24.01.1999,22.930
1,31.01.1999,23.230
1,07.02.1999,22.870
1,14.02.1999,23.080
1,21.02.1999,23.055
1,28.02.1999,23.380
1,07.03.1999,23.400
1,14.03.1999,23.930
1,21.03.1999,26.870
1,28.03.1999,26.180
1,04.04.1999,25.555
1,11.04.1999,25.530
1,18.04.1999,24.880
1,25.04.1999,24.570
1,02.05.1999,24.545
1,09.05.1999,25.430
1,16.05.1999,24.804
1,23.05.1999,24.689
1,30.05.1999,24.549
1,06.06.1999,24.414
1,13.06.1999,24.334
1,20.06.1999,24.364
1,27.06.1999,24.474
1,04.07.1999,24.404
1,11.07.1999,24.314
1,18.07.1999,24.239
1,25.07.1999,24.224
1,01.08.1999,24.704
1,08.08.1999,24.964
1,15.08.1999,24.904
1,22.08.1999,24.789
1,29.08.1999,25.874
1,05.09.1999,25.744
1,12.09.1999,25.554
1,19.09.1999,25.359
1,26.09.1999,25.489
1,03.10.1999,25.774
1,10.10.1999,25.934
1,17.10.1999,25.754
1,24.10.1999,26.084
1,31.10.1999,26.254
1,07.11.1999,26.333
1,14.11.1999,26.423
1,21.11.1999,26.468
1,28.11.1999,26.783
1,05.12.1999,26.923
1,12.12.1999,26.763
1,19.12.1999,26.738
1,26.12.1999,27.528
1,02.01.2000,27.433
1,09.01.2000,28.633
1,16.01.2000,28.508
1,23.01.2000,28.613
1,30.01.2000,28.767
1,06.02.2000,28.852
1,13.02.2000,28.812
1,20.02.2000,28.686
1,27.02.2000,28.596
1,05.03.2000,28.481
1,12.03.2000,28.413
1,19.03.2000,28.326
1,26.03.2000,28.637
1,02.04.2000,28.622
1,09.04.2000,28.464
1,16.04.2000,28.591
1,23.04.2000,28.406
1,30.04.2000,28.376
1,07.05.2000,28.256
1,14.05.2000,28.316
1,21.05.2000,28.261
1,28.05.2000,28.376
1,04.06.2000,28.366
1,11.06.2000,28.262
1,18.06.2000,28.138
1,25.06.2000,28.048
1,02.07.2000,27.975
1,09.07.2000,27.833
1,16.07.2000,27.619
1,23.07.2000,27.799
1,30.07.2000,27.724
1,06.08.2000,27.685
1,13.08.2000,27.719
1,20.08.2000,27.700
1,27.08.2000,27.746
1,03.09.2000,27.860
1,10.09.2000,27.721
1,17.09.2000,27.818
1,24.09.2000,27.761
1,01.10.2000,27.930
1,08.10.2000,27.843
1,15.10.2000,27.937
1,22.10.2000,27.810
1,29.10.2000,27.834
1,05.11.2000,27.805
1,12.11.2000,27.798
1,19.11.2000,27.885
1,26.11.2000,27.863
1,03.12.2000,27.970
1,10.12.2000,27.949
1,17.12.2000,27.955
1,24.12.2000,28.140
1,31.12.2000,28.420
1,07.01.2001,28.300
1,14.01.2001,28.344
1,21.01.2001,28.362
1,28.01.2001,28.439
1,04.02.2001,28.668
1,11.02.2001,28.662
1,18.02.2001,28.748
1,25.02.2001,28.646
1,04.03.2001,28.651
1,11.03.2001,28.657
1,18.03.2001,28.753
1,25.03.2001,28.741
1,01.04.2001,28.833
1,08.04.2001,28.841
1,15.04.2001,28.871
1,22.04.2001,28.841
1,29.04.2001,28.953
1,06.05.2001,28.961
1,13.05.2001,29.075
1,20.05.2001,29.078
1,27.05.2001,29.150
1,03.06.2001,29.146
1,10.06.2001,29.061
1,17.06.2001,29.061
1,24.06.2001,29.127
1,01.07.2001,29.187
1,08.07.2001,29.189
1,15.07.2001,29.262
1,22.07.2001,29.265
1,29.07.2001,29.345
1,05.08.2001,29.320
1,12.08.2001,29.344
1,19.08.2001,29.353
1,26.08.2001,29.403
1,02.09.2001,29.430
1,09.09.2001,29.450
1,16.09.2001,29.408
1,23.09.2001,29.447
1,30.09.2001,29.498
1,07.10.2001,29.488
1,14.10.2001,29.539
1,21.10.2001,29.691
1,28.10.2001,29.741
1,04.11.2001,29.711
1,11.11.2001,29.820
1,18.11.2001,29.935
1,25.11.2001,29.895
1,02.12.2001,30.059
1,09.12.2001,30.315
1,16.12.2001,30.241
1,23.12.2001,30.485
1,30.12.2001,30.595
1,06.01.2002,30.445
1,13.01.2002,30.580
1,20.01.2002,30.597
1,27.01.2002,30.720
1,03.02.2002,30.805
1,10.02.2002,30.857
1,17.02.2002,30.935
1,24.02.2002,31.007
1,03.03.2002,31.007
1,10.03.2002,31.081
1,17.03.2002,31.161
1,24.03.2002,31.189
1,31.03.2002,31.188
1,07.04.2002,31.198
1,14.04.2002,31.167
1,21.04.2002,31.179
1,28.04.2002,31.224
1,05.05.2002,31.204
1,12.05.2002,31.243
1,19.05.2002,31.269
1,26.05.2002,31.314
1,02.06.2002,31.394
1,09.06.2002,31.394
1,16.06.2002,31.398
1,23.06.2002,31.454
1,30.06.2002,31.524
1,07.07.2002,31.578
1,14.07.2002,31.552
1,21.07.2002,31.519
1,28.07.2002,31.534
1,04.08.2002,31.524
1,11.08.2002,31.554
1,18.08.2002,31.577
1,25.08.2002,31.612
1,01.09.2002,31.614
1,08.09.2002,31.639
1,15.09.2002,31.645
1,22.09.2002,31.650
1,29.09.2002,31.695
1,06.10.2002,31.670
1,13.10.2002,31.684
1,20.10.2002,31.714
1,27.10.2002,31.769
1,03.11.2002,31.804
1,10.11.2002,31.818
1,17.11.2002,31.819
1,24.11.2002,31.843
1,01.12.2002,31.843
1,08.12.2002,31.843
1,15.12.2002,31.799
1,22.12.2002,31.787
1,29.12.2002,31.879
1,05.01.2003,31.807
1,12.01.2003,31.799
1,19.01.2003,31.771
1,26.01.2003,31.824
1,02.02.2003,31.801
1,09.02.2003,31.606
1,16.02.2003,31.522
1,23.02.2003,31.561
1,02.03.2003,31.537
1,09.03.2003,31.379
1,16.03.2003,31.368
1,23.03.2003,31.357
1,30.03.2003,31.261
1,06.04.2003,31.261
1,13.04.2003,31.166
1,20.04.2003,31.076
1,27.04.2003,31.086
1,04.05.2003,31.076
1,11.05.2003,30.871
1,18.05.2003,30.691
1,25.05.2003,30.701
1,01.06.2003,30.586
1,08.06.2003,30.521
1,15.06.2003,30.301
1,22.06.2003,30.317
1,29.06.2003,30.281
1,06.07.2003,30.398
1,13.07.2003,30.398
1,20.07.2003,30.260
1,27.07.2003,30.380
1,03.08.2003,30.389
1,10.08.2003,30.301
1,17.08.2003,30.252
1,24.08.2003,30.485
1,31.08.2003,30.650
1,07.09.2003,30.697
1,14.09.2003,30.501
1,21.09.2003,30.496
1,28.09.2003,30.427
1,05.10.2003,30.086
1,12.10.2003,30.026
1,19.10.2003,29.883
1,26.10.2003,29.918
